id,city,local,trashbury,trashfire,trashrec
85,경기도,안산시,31.6,165,152.6
86,경기도,고양시,91.1,72.2,110.9
87,경기도,과천시,1.3,121,131.7
88,경기도,구리시,150.9,32.9,153.8
89,경기도,남양주시,0,135.9,74.1
90,경기도,오산시,55,57.4,93.4
91,경기도,시흥시,12.1,104.1,26
92,경기도,군포시,0,74.9,95.8
93,경기도,의왕시,0,93.8,16.4
94,경기도,하남시,10.2,52.3,71.4
95,경기도,용인시,0,56.2,75.7
96,경기도,파주시,0,68.2,7.1
97,경기도,이천시,17.6,42.9,44.9
98,경기도,안성시,5.7,59.9,53.8
99,경기도,김포시,10.5,53.5,90.4
100,경기도,화성시,16.4,26.4,51
101,경기도,광주광역시시,0,62.1,47.3
102,경기도,양주시,14.5,20.4,48
103,경기도,포천시,4.8,28,21.1
104,경기도,여주시,0,29.3,27.1
105,경기도,연천군,1.6,52.3,11.9
106,경기도,가평군,25.8,0,14.7
107,경기도,양평군,2.1,25.1,16.2
108,강원도,춘천시,23.2,135.6,11.6
109,강원도,원주시,60.9,0,96.6
110,강원도,강릉시,122.1,11.9,11.6
111,강원도,동해시,78.9,0,29.8
112,강원도,태백시,5.5,23.5,35
113,강원도,속초시,48.3,68,30.5
114,강원도,삼척시,64.7,0,14.8
115,강원도,홍천군,3.2,37.7,5.4
116,강원도,횡성군,9.7,15.2,15.4
117,강원도,영월군,3.6,12.1,13.5
118,강원도,평창군,2.1,6.3,28.4
119,강원도,정선군,17.9,4.1,13
120,강원도,철원군,29.5,15.8,4.6
121,강원도,화천군,23.9,13.1,11.8
122,강원도,양구군,0,11,8.6
123,강원도,인제군,30.3,16.4,25.8
124,강원도,고성군,18.7,31.8,7.7
125,강원도,양양군,3.6,32.1,6.6
126,충청북도,청주시,77.1,245.1,567.4
127,충청북도,충주시,24.9,76,14.5
128,충청북도,제천시,53.6,27.9,41.5
129,충청북도,보은군,6.8,19.1,10
130,충청북도,옥천군,8.5,30.9,4.3
131,충청북도,영동군,2.4,25.4,19.6
132,충청북도,증평군,13.2,7.4,21.7
133,충청북도,진천군,1.4,15.9,31.7
