국적?지역,성별,성별합계,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60세이상
쿠웨이트,M,22,1,1,3,1,2,2,1,3,2,3,2,1,0
쿠웨이트,F,14,0,1,1,1,2,2,3,1,2,1,0,0,0
오만,M,20,1,2,2,3,4,1,1,1,2,1,1,0,1
오만,F,16,1,2,1,1,2,0,3,0,3,1,1,0,1
예멘공화국,M,26,1,0,0,0,3,1,6,2,7,0,2,1,3
예멘공화국,F,10,0,0,0,0,1,2,3,1,1,0,1,0,1
홍콩거주난민,M,11,0,0,0,0,0,0,0,1,0,1,0,6,3
홍콩거주난민,F,9,0,0,0,0,0,0,0,0,3,1,2,1,2
카타르,M,10,0,0,0,0,2,2,2,0,0,2,0,1,1
카타르,F,7,0,0,0,0,2,1,0,0,0,0,1,2,1
레바논,M,12,1,0,1,2,1,0,0,3,1,1,0,1,1
레바논,F,4,0,0,0,0,0,1,0,0,2,0,1,0,0
키프로스,M,10,1,0,0,0,0,0,0,1,1,4,0,1,2
키프로스,F,1,0,0,0,0,0,0,0,0,1,0,0,0,0
팔레스타인,M,6,0,0,0,1,0,1,1,1,1,1,0,0,0
팔레스타인,F,2,0,0,0,0,1,0,0,0,0,0,0,1,0
몰디브,M,7,0,0,0,0,0,0,2,4,1,0,0,0,0
부탄,M,2,0,0,0,0,0,1,0,1,0,0,0,0,0
투르크메니스탄,M,2,0,0,0,0,0,1,0,1,0,0,0,0,0
바레인,M,1,0,0,0,0,0,0,1,0,0,0,0,0,0
북미주계,M,"49,079","2,662","1,819","1,319","2,663","10,266","8,868","6,575","4,803","3,136","2,201","1,562","1,181","2,024"
북미주계,F,"23,881","2,520","1,742","1,391","1,801","3,344","2,882","2,193","1,649","1,440","1,188","1,089","1,007","1,635"
미국,M,"46,885","2,363","1,673","1,225","2,552","9,977","8,591","6,392","4,682","3,020","2,083","1,454","1,060","1,813"
미국,F,"21,581","2,209","1,591","1,287","1,683","3,088","2,668","2,079","1,549","1,300","1,047",895,825,"1,360"
캐나다,M,"2,194",299,146,94,111,289,277,183,121,116,118,108,121,211
캐나다,F,"2,300",311,151,104,118,256,214,114,100,140,141,194,182,275
남미주계,M,"1,160",60,43,35,110,179,178,124,90,67,75,58,47,94
남미주계,F,998,56,32,38,91,213,184,98,58,57,40,43,40,48
브라질,M,337,23,18,18,34,61,66,41,18,10,8,7,11,22
브라질,F,275,31,10,9,28,61,54,28,5,8,8,6,12,15
멕시코,M,147,12,13,8,6,14,16,17,16,9,11,8,4,13
멕시코,F,164,5,9,14,11,43,25,14,11,9,5,5,6,7
페루,M,179,1,5,1,11,17,18,21,24,21,17,18,13,12
페루,F,125,0,5,5,9,15,16,13,12,17,15,11,4,3
아르헨티나,M,155,7,2,5,40,28,17,14,10,5,11,4,3,9
아르헨티나,F,116,8,1,6,21,31,23,7,5,2,0,0,5,7
콜롬비아,M,60,0,0,0,2,15,11,7,6,2,6,4,3,4
콜롬비아,F,62,1,0,0,3,13,16,9,6,4,0,5,4,1
파라과이,M,52,2,0,0,3,18,10,4,0,1,0,2,1,11
파라과이,F,48,2,0,0,6,15,13,5,1,2,0,2,0,2
칠레,M,55,7,1,3,6,6,9,2,6,2,6,3,1,3
칠레,F,36,3,3,3,2,5,9,2,1,3,1,2,1,1
에콰도르,M,26,0,0,0,1,3,2,3,2,1,3,2,4,5
에콰도르,F,25,0,2,0,2,5,5,3,2,1,2,2,0,1
과테말라,M,27,1,0,0,3,7,6,2,0,1,2,3,1,1
과테말라,F,24,0,0,0,0,9,2,2,2,4,1,3,0,1
베네수엘라,M,19,1,1,0,0,2,3,2,2,4,2,1,1,0
베네수엘라,F,28,2,0,0,2,6,6,2,1,2,1,0,2,4
코스타리카,M,20,1,0,0,0,1,4,0,3,1,3,0,3,4
코스타리카,F,15,0,0,0,0,3,3,3,1,0,0,0,2,3
볼리비아,M,17,0,0,0,1,3,2,4,0,2,0,2,2,1
볼리비아,F,13,0,0,0,2,1,4,1,0,0,3,2,0,0
온두라스,M,14,3,1,0,0,1,4,0,0,1,2,0,0,2
온두라스,F,12,0,1,0,2,3,1,1,1,3,0,0,0,0
파나마,M,7,1,0,0,1,1,0,0,2,0,0,1,0,1
파나마,F,13,3,0,0,2,2,0,2,0,1,1,0,1,1
도미니카공화국,M,7,0,0,0,1,0,1,2,0,1,1,0,0,1
도미니카공화국,F,10,0,0,0,0,0,3,0,4,1,1,0,0,1
자메이카,M,8,0,1,0,0,0,1,0,1,1,1,1,0,2
자메이카,F,8,0,0,0,0,0,2,0,2,0,2,2,0,0
우루과이,M,8,0,0,0,1,0,2,4,0,1,0,0,0,0
우루과이,F,5,0,0,0,1,0,0,2,0,0,0,0,1,1
엘살바도르,M,6,0,0,0,0,1,4,0,0,1,0,0,0,0
엘살바도르,F,4,0,0,1,0,0,1,0,1,0,0,1,0,0
아이티,M,1,0,1,0,0,0,0,0,0,0,0,0,0,0
아이티,F,6,1,1,0,0,0,0,1,3,0,0,0,0,0
니카라과,M,5,1,0,0,0,1,2,0,0,0,0,0,0,1
니카라과,F,2,0,0,0,0,0,1,0,0,0,0,0,1,0
수리남,M,3,0,0,0,0,0,0,1,0,0,1,0,0,1
수리남,F,2,0,0,0,0,0,0,0,0,0,0,1,1,0
트리니다드토바고,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0
트리니다드토바고,F,3,0,0,0,0,0,0,2,0,0,0,1,0,0
벨리즈,M,2,0,0,0,0,0,0,0,0,0,1,0,0,1
벨리즈,F,1,0,0,0,0,0,0,1,0,0,0,0,0,0
도미니카연방,M,2,0,0,0,0,0,0,0,0,1,0,1,0,0
바베이도스,M,1,0,0,0,0,0,0,0,0,0,0,1,0,0
그레나다,F,1,0,0,0,0,1,0,0,0,0,0,0,0,0
세인트크리스토퍼네비스,M,1,0,0,0,0,0,0,0,0,1,0,0,0,0
유럽주계,M,"8,110",340,262,178,255,855,"1,348","1,174",875,717,601,515,376,614
유럽주계,F,"6,397",353,238,219,389,"1,002",941,686,500,474,395,356,289,555
러시아연방,M,"3,184",86,81,70,90,294,562,463,409,331,241,226,146,185
러시아연방,F,"2,918",88,100,85,138,406,488,373,276,275,194,176,112,207
영국,M,"1,059",71,56,24,35,110,133,151,104,81,78,67,63,86
영국,F,640,61,30,36,49,79,68,57,42,47,43,44,34,50
프랑스,M,816,49,28,27,28,96,165,125,73,55,50,45,25,50
프랑스,F,574,52,18,22,37,137,83,41,24,26,39,19,28,48
독일,M,730,53,35,18,24,71,111,114,79,54,65,32,26,48
독일,F,552,59,26,15,36,83,70,52,39,20,23,31,26,72
이탈리아,M,261,13,10,6,6,26,36,45,29,35,12,13,14,16
이탈리아,F,152,13,7,7,14,16,21,21,17,9,6,7,9,5
네덜란드,M,204,8,8,7,6,33,32,25,12,18,14,11,6,24
네덜란드,F,117,5,9,6,6,19,16,8,6,12,8,3,7,12
한국계러시아인,M,164,2,0,0,3,8,11,14,9,9,10,15,10,73
한국계러시아인,F,146,1,2,1,4,5,12,6,13,12,13,9,9,59
스페인,M,178,6,6,0,5,18,46,24,22,11,9,14,4,13
스페인,F,123,19,4,2,5,21,16,12,6,15,7,4,4,8
